Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Pa-Belem;19296;19564;18948;20440;20325;20344;23532;25685;31102;26160;25904;21394;17867;16301;12122;12682;11674;11498;10772;11290;376900
Pa-Belterra;1;0;0;0;1;1;0;0;2;1;1;3;3;4;4;0;0;0;0;0;21
Pa-Benevides;620;417;503;295;366;320;329;302;519;331;198;152;145;90;62;64;65;81;62;28;4949
Pa-Bom Jesus do Tocantins;7;12;13;165;18;59;24;70;1;0;0;0;0;0;0;0;0;10;18;0;397
Pa-Bonito;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Braganca;241;189;158;189;203;158;196;189;141;199;111;104;35;8;22;44;43;2;12;14;2258
Pa-Brasil Novo;1;10;24;2;7;6;0;3;0;0;0;0;0;0;0;3;10;9;1;0;76
Pa-Brejo Grande do Araguaia;2;4;4;4;4;3;7;2;1;1;0;0;0;0;0;21;3;0;3;0;59
Pa-Breu Branco;401;313;259;207;191;202;367;133;58;37;11;86;15;12;13;3;4;30;1;47;2390
Pa-Breves;21;8;7;43;27;35;39;93;99;261;110;79;48;0;1;0;3;2;2;1;879
Pa-Bujaru;6;2;6;1;0;5;18;12;1;1;1;2;0;0;0;0;0;0;0;0;55
Pa-Cachoeira do Piria;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
Pa-Cachoeira do Arari;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Pa-Cameta;24;6;7;126;580;201;24;27;14;3;2;9;6;14;24;21;11;0;10;49;1158
Pa-Canaa dos Carajas;6545;4012;1479;2117;1404;7220;14362;9344;7296;3250;2758;1053;340;231;446;693;541;353;952;158;64554
Pa-Capanema;117;87;107;131;90;111;383;251;230;48;70;62;68;42;36;19;20;46;38;17;1973
Pa-Capitao Poco;6;9;7;19;2;33;52;50;173;160;21;15;4;0;0;1;1;1;4;0;558
Pa-Castanhal;1024;796;867;1094;670;707;725;862;1038;1409;1697;2384;1867;1391;1265;1344;630;353;377;174;20674
Pa-Chaves;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
