Município;Total
PI-BETANIA DO PIAUI;248
PI-BOA HORA;394
PI-BOCAINA;333
PI-BOM JESUS;3354
PI-BOM PRINCIPIO DO PIAUI;326
PI-BONFIM DO PIAUI;116
PI-BOQUEIRAO DO PIAUI;360
PI-BRASILEIRA;341
PI-BREJO DO PIAUI;236
PI-BURITI DOS LOPES;901
PI-BURITI DOS MONTES;283
PI-CABECEIRAS DO PIAUI;375
PI-CAJAZEIRAS DO PIAUI;184
PI-CAJUEIRO DA PRAIA;665
PI-CALDEIRAO GRANDE DO PIAUI;276
PI-CAMPINAS DO PIAUI;226
PI-CAMPO ALEGRE DO FIDALGO;184
PI-CAMPO GRANDE DO PIAUI;278
PI-CAMPO LARGO DO PIAUI;41
PI-CAMPO MAIOR;3974
PI-CANAVIEIRA;242
PI-CANTO DO BURITI;1464
PI-CAPITAO DE CAMPOS;391
PI-CAPITAO GERVASIO OLIVEIRA;267
PI-CARACOL;394
PI-CARAUBAS DO PIAUI;221
PI-CARIDADE DO PIAUI;307
PI-CASTELO DO PIAUI;1170
PI-CAXINGO;334
PI-COCAL;1139
PI-COCAL DE TELHA;306
PI-COCAL DOS ALVES;299
PI-COIVARAS;240
PI-COLONIA DO GURGUEIA;336
PI-COLONIA DO PIAUI;348
PI-CONCEICAO DO CANINDE;256
PI-CORONEL JOSE DIAS;254
PI-CORRENTE;1998
PI-CRISTALANDIA DO PIAUI;309
PI-CRISTINO CASTRO;658
PI-CURIMATA;694
PI-CURRAIS;319
PI-CURRALINHOS;104
PI-CURRAL NOVO DO PIAUI;795
PI-DEMERVAL LOBAO;855
PI-DIRCEU ARCOVERDE;339
PI-DOM EXPEDITO LOPES;336
PI-DOMINGOS MOURAO;164
PI-DOM INOCENCIO;314
PI-ELESBAO VELOSO;890
PI-ELISEU MARTINS;325
PI-ESPERANTINA;2876
PI-FARTURA DO PIAUI;202
PI-FLORES DO PIAUI;30
PI-FLORESTA DO PIAUI;150
PI-FLORIANO;9032
PI-FRANCINOPOLIS;226
PI-FRANCISCO AYRES;212
PI-FRANCISCO MACEDO;159
PI-FRANCISCO SANTOS;346
PI-FRONTEIRAS;1068
PI-GEMINIANO;242
PI-GILBUES;713
PI-GUADALUPE;927
PI-GUARIBAS;17
PI-HUGO NAPOLEAO;208
PI-ILHA GRANDE;442
PI-INHUMA;688
PI-IPIRANGA DO PIAUI;380
PI-ISAIAS COELHO;250
PI-ITAINOPOLIS;404
PI-ITAUEIRA;617
PI-JACOBINA DO PIAUI;278
PI-JAICOS;601
PI-JARDIM DO MULATO;202
PI-JATOBA DO PIAUI;258
PI-JERUMENHA;175
PI-JOAO COSTA;18
PI-JOAQUIM PIRES;650
PI-JOCA MARQUES;191
PI-JOSE DE FREITAS;2667
PI-JUAZEIRO DO PIAUI;369
PI-JULIO BORGES;324
PI-JUREMA;219
PI-LAGOINHA DO PIAUI;122
PI-LAGOA ALEGRE;354
PI-LAGOA DO BARRO DO PIAUI;264
PI-LAGOA DE SAO FRANCISCO;401
PI-LAGOA DO PIAUI;404
PI-LAGOA DO SITIO;244
PI-LANDRI SALES;322
PI-LUIS CORREIA;2300
PI-LUZILANDIA;1272
PI-MADEIRO;342
PI-MANOEL EMIDIO;279
PI-MARCOLANDIA;374
PI-MARCOS PARENTE;268
PI-MASSAPE DO PIAUI;263
PI-MATIAS OLIMPIO;631
PI-MIGUEL ALVES;1188
PI-MIGUEL LEAO;144
PI-MILTON BRANDAO;230
PI-MONSENHOR GIL;698
PI-MONSENHOR HIPOLITO;223
PI-MONTE ALEGRE DO PIAUI;939
PI-MORRO CABECA NO TEMPO;197
PI-MORRO DO CHAPEU DO PIAUI;326
PI-MURICI DOS PORTELAS;409
PI-NAZARE DO PIAUI;370
PI-NAZARIA;595
PI-NOSSA SENHORA DE NAZARE;242
PI-NOSSA SENHORA DOS REMEDIOS;205
PI-NOVO ORIENTE DO PIAUI;288
PI-NOVO SANTO ANTONIO;205
PI-OEIRAS;2961
PI-OLHO D AGUA DO PIAUI;91
PI-PADRE MARCOS;315
PI-PAES LANDIM;31
PI-PAJEU DO PIAUI;125
PI-PALMEIRA DO PIAUI;99
PI-PALMEIRAIS;672
PI-PAQUETA;187
PI-PARNAGUA;475
PI-PARNAIBA;17850
PI-PASSAGEM FRANCA DO PIAUI;166
PI-PATOS DO PIAUI;257
PI-PAU D ARCO DO PIAUI;123
PI-PAULISTANA;1673
PI-PAVUSSU;34
PI-PEDRO II;1971
PI-PEDRO LAURENTINO;125
PI-NOVA SANTA RITA;203
PI-PICOS;13097
PI-PIMENTEIRAS;602
PI-PIO IX;598
PI-PIRACURUCA;1598
PI-PIRIPIRI;5611
PI-PORTO;636
PI-PORTO ALEGRE DO PIAUI;184
PI-PRATA DO PIAUI;131
PI-QUEIMADA NOVA;305
PI-REDENCAO DO GURGUEIA;543
PI-REGENERACAO;1260
PI-RIACHO FRIO;287
PI-RIBEIRA DO PIAUI;323
