Município;Total
PI-FRANCINOPOLIS;193
PI-FRANCISCO AYRES;108
PI-FRANCISCO MACEDO;0
PI-FRANCISCO SANTOS;80
PI-FRONTEIRAS;448
PI-GEMINIANO;109
PI-GILBUES;141
PI-GUADALUPE;399
PI-GUARIBAS;0
PI-HUGO NAPOLEAO;143
PI-ILHA GRANDE;50
PI-INHUMA;191
PI-IPIRANGA DO PIAUI;178
PI-ISAIAS COELHO;129
PI-ITAINOPOLIS;71
PI-ITAUEIRA;123
PI-JACOBINA DO PIAUI;20
PI-JAICOS;57
PI-JARDIM DO MULATO;83
PI-JATOBA DO PIAUI;30
PI-JERUMENHA;131
PI-JOAO COSTA;0
PI-JOAQUIM PIRES;206
PI-JOCA MARQUES;0
PI-JOSE DE FREITAS;411
PI-JUAZEIRO DO PIAUI;0
PI-JULIO BORGES;84
PI-JUREMA;42
PI-LAGOINHA DO PIAUI;31
PI-LAGOA ALEGRE;133
PI-LAGOA DO BARRO DO PIAUI;37
PI-LAGOA DE SAO FRANCISCO;77
PI-LAGOA DO PIAUI;100
PI-LAGOA DO SITIO;106
PI-LANDRI SALES;148
PI-LUIS CORREIA;1936
PI-LUZILANDIA;146
PI-MADEIRO;130
PI-MANOEL EMIDIO;168
PI-MARCOLANDIA;94
PI-MARCOS PARENTE;52
PI-MASSAPE DO PIAUI;0
PI-MATIAS OLIMPIO;77
PI-MIGUEL ALVES;476
PI-MIGUEL LEAO;30
PI-MILTON BRANDAO;28
PI-MONSENHOR GIL;159
PI-MONSENHOR HIPOLITO;77
PI-MONTE ALEGRE DO PIAUI;63
PI-MORRO CABECA NO TEMPO;0
PI-MORRO DO CHAPEU DO PIAUI;2
PI-MURICI DOS PORTELAS;131
PI-NAZARE DO PIAUI;93
PI-NAZARIA;0
PI-NOSSA SENHORA DE NAZARE;17
PI-NOSSA SENHORA DOS REMEDIOS;111
PI-NOVO ORIENTE DO PIAUI;153
PI-NOVO SANTO ANTONIO;66
PI-OEIRAS;689
PI-OLHO D AGUA DO PIAUI;28
PI-PADRE MARCOS;65
PI-PAES LANDIM;66
PI-PAJEU DO PIAUI;33
PI-PALMEIRA DO PIAUI;44
PI-PALMEIRAIS;199
PI-PAQUETA;0
PI-PARNAGUA;36
PI-PARNAIBA;8370
PI-PASSAGEM FRANCA DO PIAUI;52
PI-PATOS DO PIAUI;12
PI-PAU D ARCO DO PIAUI;0
PI-PAULISTANA;371
PI-PAVUSSU;63
PI-PEDRO II;568
PI-PEDRO LAURENTINO;0
PI-NOVA SANTA RITA;90
PI-PICOS;3710
PI-PIMENTEIRAS;390
PI-PIO IX;713
PI-PIRACURUCA;505
PI-PIRIPIRI;1505
PI-PORTO;200
PI-PORTO ALEGRE DO PIAUI;0
PI-PRATA DO PIAUI;65
PI-QUEIMADA NOVA;89
PI-REDENCAO DO GURGUEIA;4
PI-REGENERACAO;262
PI-RIACHO FRIO;42
PI-RIBEIRA DO PIAUI;0
PI-RIBEIRO GONCALVES;106
PI-RIO GRANDE DO PIAUI;40
PI-SANTA CRUZ DO PIAUI;190
PI-SANTA CRUZ DOS MILAGRES;128
PI-SANTA FILOMENA;47
PI-SANTA LUZ;140
PI-SANTANA DO PIAUI;139
PI-SANTA ROSA DO PIAUI;81
PI-SANTO ANTONIO DE LISBOA;76
PI-SANTO ANTONIO DOS MILAGRES;53
PI-SANTO INACIO DO PIAUI;24
PI-SAO BRAZ DO PIAUI;61
