Município;Total;
MA-TUFILANDIA;0;
MA-TUNTUM;115;
MA-TURIACU;180;
MA-TURILANDIA;0;
MA-TUTOIA;1242;
MA-URBANO SANTOS;159;
MA-VARGEM GRANDE;633;
MA-VIANA;427;
MA-VILA NOVA DOS MARTIRIOS;0;
MA-VITORIA DO MEARIM;385;
MA-VITORINO FREIRE;568;
MA-ZE DOCA;241;
MA-IGNORADO;0;
PI-ACAUA;0;
PI-AGRICOLANDIA;170;
PI-AGUA BRANCA;487;
PI-ALAGOINHA DO PIAUI;110;
PI-ALEGRETE DO PIAUI;0;
PI-ALTO LONGA;636;
PI-ALTOS;914;
PI-ALVORADA DO GURGUEIA;0;
PI-AMARANTE;270;
PI-ANGICAL DO PIAUI;269;
PI-ANISIO DE ABREU;52;
PI-ANTONIO ALMEIDA;138;
PI-AROAZES;313;
PI-AROEIRAS DO ITAIM;0;
PI-ARRAIAL;156;
PI-ASSUNCAO DO PIAUI;0;
PI-AVELINO LOPES;64;
PI-BAIXA GRANDE DO RIBEIRO;14;
PI-BARRA D ALCANTARA;0;
PI-BARRAS;838;
PI-BARREIRAS DO PIAUI;4;
PI-BARRO DURO;263;
PI-BATALHA;207;
PI-BELA VISTA DO PIAUI;0;
PI-BELEM DO PIAUI;0;
PI-BENEDITINOS;263;
PI-BERTOLINIA;77;
PI-BETANIA DO PIAUI;0;
PI-BOA HORA;0;
PI-BOCAINA;52;
PI-BOM JESUS;258;
PI-BOM PRINCIPIO DO PIAUI;198;
PI-BONFIM DO PIAUI;8;
PI-BOQUEIRAO DO PIAUI;0;
PI-BRASILEIRA;136;
PI-BREJO DO PIAUI;0;
PI-BURITI DOS LOPES;369;
PI-BURITI DOS MONTES;25;
PI-CABECEIRAS DO PIAUI;112;
PI-CAJAZEIRAS DO PIAUI;0;
PI-CAJUEIRO DA PRAIA;0;
PI-CALDEIRAO GRANDE DO PIAUI;28;
PI-CAMPINAS DO PIAUI;214;
PI-CAMPO ALEGRE DO FIDALGO;0;
PI-CAMPO GRANDE DO PIAUI;0;
PI-CAMPO LARGO DO PIAUI;0;
PI-CAMPO MAIOR;1562;
PI-CANAVIEIRA;0;
PI-CANTO DO BURITI;210;
PI-CAPITAO DE CAMPOS;90;
PI-CAPITAO GERVASIO OLIVEIRA;0;
PI-CARACOL;3;
PI-CARAUBAS DO PIAUI;0;
PI-CARIDADE DO PIAUI;0;
PI-CASTELO DO PIAUI;136;
PI-CAXINGO;0;
PI-COCAL;614;
PI-COCAL DE TELHA;0;
PI-COCAL DOS ALVES;0;
PI-COIVARAS;170;
PI-COLONIA DO GURGUEIA;25;
PI-COLONIA DO PIAUI;6;
PI-CONCEICAO DO CANINDE;70;
PI-CORONEL JOSE DIAS;103;
PI-CORRENTE;216;
PI-CRISTALANDIA DO PIAUI;3;
PI-CRISTINO CASTRO;164;
PI-CURIMATA;201;
PI-CURRAIS;0;
PI-CURRALINHOS;0;
PI-CURRAL NOVO DO PIAUI;0;
PI-DEMERVAL LOBAO;309;
PI-DIRCEU ARCOVERDE;114;
PI-DOM EXPEDITO LOPES;179;
PI-DOMINGOS MOURAO;50;
PI-DOM INOCENCIO;56;
PI-ELESBAO VELOSO;229;
PI-ELISEU MARTINS;61;
PI-ESPERANTINA;396;
PI-FARTURA DO PIAUI;56;
PI-FLORES DO PIAUI;4;
PI-FLORESTA DO PIAUI;0;
PI-FLORIANO;2713;
PI-FRANCINOPOLIS;166;
PI-FRANCISCO AYRES;79;
PI-FRANCISCO MACEDO;0;
PI-FRANCISCO SANTOS;93;
PI-FRONTEIRAS;345;
PI-GEMINIANO;0;
PI-GILBUES;26;
PI-GUADALUPE;323;
PI-GUARIBAS;0;
PI-HUGO NAPOLEAO;259;
PI-ILHA GRANDE;0;
PI-INHUMA;123;
PI-IPIRANGA DO PIAUI;79;
PI-ISAIAS COELHO;94;
PI-ITAINOPOLIS;98;
PI-ITAUEIRA;127;
PI-JACOBINA DO PIAUI;23;
PI-JAICOS;63;
PI-JARDIM DO MULATO;166;
PI-JATOBA DO PIAUI;0;
PI-JERUMENHA;147;
PI-JOAO COSTA;0;
PI-JOAQUIM PIRES;76;
PI-JOCA MARQUES;0;
PI-JOSE DE FREITAS;188;
PI-JUAZEIRO DO PIAUI;0;
PI-JULIO BORGES;0;
PI-JUREMA;0;
PI-LAGOINHA DO PIAUI;0;
PI-LAGOA ALEGRE;154;
PI-LAGOA DO BARRO DO PIAUI;51;
PI-LAGOA DE SAO FRANCISCO;0;
PI-LAGOA DO PIAUI;0;
PI-LAGOA DO SITIO;0;
PI-LANDRI SALES;4;
PI-LUIS CORREIA;2088;
PI-LUZILANDIA;257;
PI-MADEIRO;0;
PI-MANOEL EMIDIO;207;
PI-MARCOLANDIA;10;
PI-MARCOS PARENTE;40;
PI-MASSAPE DO PIAUI;0;
PI-MATIAS OLIMPIO;127;
PI-MIGUEL ALVES;465;
PI-MIGUEL LEAO;32;
PI-MILTON BRANDAO;0;
PI-MONSENHOR GIL;309;
PI-MONSENHOR HIPOLITO;55;
PI-MONTE ALEGRE DO PIAUI;70;
PI-MORRO CABECA NO TEMPO;0;
PI-MORRO DO CHAPEU DO PIAUI;0;
PI-MURICI DOS PORTELAS;0;
PI-NAZARE DO PIAUI;105;
PI-NAZARIA;0;
PI-NOSSA SENHORA DE NAZARE;0;
