MA-SAO MATEUS DO MARANHAO;666;
MA-SAO PEDRO DA AGUA BRANCA;193;
MA-SAO PEDRO DOS CRENTES;166;
MA-SAO RAIMUNDO DAS MANGABEIRAS;1459;
MA-SAO RAIMUNDO DO DOCA BEZERRA;268;
MA-SAO ROBERTO;121;
MA-SAO VICENTE FERRER;273;
MA-SATUBINHA;47;
MA-SENADOR ALEXANDRE COSTA;200;
MA-SENADOR LA ROCQUE;487;
MA-SERRANO DO MARANHAO;211;
MA-SITIO NOVO;358;
MA-SUCUPIRA DO NORTE;265;
MA-SUCUPIRA DO RIACHAO;136;
MA-TASSO FRAGOSO;850;
MA-TIMBIRAS;609;
MA-TIMON;6085;
MA-TRIZIDELA DO VALE;656;
MA-TUFILANDIA;0;
MA-TUNTUM;618;
MA-TURIACU;787;
MA-TURILANDIA;317;
MA-TUTOIA;3070;
MA-URBANO SANTOS;149;
MA-VARGEM GRANDE;991;
MA-VIANA;2469;
MA-VILA NOVA DOS MARTIRIOS;229;
MA-VITORIA DO MEARIM;1039;
MA-VITORINO FREIRE;879;
MA-ZE DOCA;2087;
MA-IGNORADO;0;
PI-ACAUA;171;
PI-AGRICOLANDIA;113;
PI-AGUA BRANCA;501;
PI-ALAGOINHA DO PIAUI;124;
PI-ALEGRETE DO PIAUI;135;
PI-ALTO LONGA;324;
PI-ALTOS;2234;
PI-ALVORADA DO GURGUEIA;213;
PI-AMARANTE;373;
PI-ANGICAL DO PIAUI;204;
PI-ANISIO DE ABREU;120;
PI-ANTONIO ALMEIDA;244;
PI-AROAZES;239;
PI-AROEIRAS DO ITAIM;0;
PI-ARRAIAL;117;
PI-ASSUNCAO DO PIAUI;1;
PI-AVELINO LOPES;183;
PI-BAIXA GRANDE DO RIBEIRO;487;
PI-BARRA D ALCANTARA;135;
PI-BARRAS;1376;
PI-BARREIRAS DO PIAUI;51;
PI-BARRO DURO;264;
PI-BATALHA;509;
PI-BELA VISTA DO PIAUI;140;
PI-BELEM DO PIAUI;32;
PI-BENEDITINOS;287;
PI-BERTOLINIA;155;
PI-BETANIA DO PIAUI;130;
PI-BOA HORA;186;
PI-BOCAINA;139;
PI-BOM JESUS;723;
PI-BOM PRINCIPIO DO PIAUI;254;
PI-BONFIM DO PIAUI;105;
PI-BOQUEIRAO DO PIAUI;136;
PI-BRASILEIRA;114;
PI-BREJO DO PIAUI;112;
PI-BURITI DOS LOPES;506;
PI-BURITI DOS MONTES;172;
PI-CABECEIRAS DO PIAUI;184;
PI-CAJAZEIRAS DO PIAUI;74;
PI-CAJUEIRO DA PRAIA;380;
PI-CALDEIRAO GRANDE DO PIAUI;102;
PI-CAMPINAS DO PIAUI;198;
PI-CAMPO ALEGRE DO FIDALGO;1;
PI-CAMPO GRANDE DO PIAUI;177;
PI-CAMPO LARGO DO PIAUI;136;
PI-CAMPO MAIOR;2378;
PI-CANAVIEIRA;46;
PI-CANTO DO BURITI;609;
PI-CAPITAO DE CAMPOS;342;
PI-CAPITAO GERVASIO OLIVEIRA;61;
PI-CARACOL;4;
PI-CARAUBAS DO PIAUI;124;
PI-CARIDADE DO PIAUI;123;
PI-CASTELO DO PIAUI;856;
PI-CAXINGO;152;
PI-COCAL;569;
PI-COCAL DE TELHA;216;
PI-COCAL DOS ALVES;215;
PI-COIVARAS;103;
PI-COLONIA DO GURGUEIA;109;
PI-COLONIA DO PIAUI;170;
PI-CONCEICAO DO CANINDE;108;
PI-CORONEL JOSE DIAS;93;
PI-CORRENTE;851;
PI-CRISTALANDIA DO PIAUI;94;
PI-CRISTINO CASTRO;231;
PI-CURIMATA;323;
PI-CURRAIS;234;
PI-CURRALINHOS;65;
PI-CURRAL NOVO DO PIAUI;130;
PI-DEMERVAL LOBAO;271;
PI-DIRCEU ARCOVERDE;212;
PI-DOM EXPEDITO LOPES;218;
PI-DOMINGOS MOURAO;84;
PI-DOM INOCENCIO;131;
PI-ELESBAO VELOSO;368;
PI-ELISEU MARTINS;137;
PI-ESPERANTINA;1240;
PI-FARTURA DO PIAUI;120;
PI-FLORES DO PIAUI;64;
PI-FLORESTA DO PIAUI;149;
PI-FLORIANO;3832;
PI-FRANCINOPOLIS;197;
PI-FRANCISCO AYRES;135;
PI-FRANCISCO MACEDO;49;
PI-FRANCISCO SANTOS;78;
PI-FRONTEIRAS;883;
PI-GEMINIANO;134;
PI-GILBUES;350;
PI-GUADALUPE;496;
PI-GUARIBAS;1;
PI-HUGO NAPOLEAO;135;
PI-ILHA GRANDE;225;
PI-INHUMA;382;
PI-IPIRANGA DO PIAUI;283;
PI-ISAIAS COELHO;166;
PI-ITAINOPOLIS;274;
PI-ITAUEIRA;161;
PI-JACOBINA DO PIAUI;154;
PI-JAICOS;510;
PI-JARDIM DO MULATO;168;
PI-JATOBA DO PIAUI;129;
PI-JERUMENHA;124;
PI-JOAO COSTA;89;
PI-JOAQUIM PIRES;199;
PI-JOCA MARQUES;138;
PI-JOSE DE FREITAS;1433;
PI-JUAZEIRO DO PIAUI;94;
PI-JULIO BORGES;177;
PI-JUREMA;117;
PI-LAGOINHA DO PIAUI;56;
PI-LAGOA ALEGRE;179;
PI-LAGOA DO BARRO DO PIAUI;165;
PI-LAGOA DE SAO FRANCISCO;266;
PI-LAGOA DO PIAUI;528;
PI-LAGOA DO SITIO;182;
PI-LANDRI SALES;220;
PI-LUIS CORREIA;1832;
PI-LUZILANDIA;496;
PI-MADEIRO;293;
PI-MANOEL EMIDIO;219;
PI-MARCOLANDIA;195;
PI-MARCOS PARENTE;100;
PI-MASSAPE DO PIAUI;86;
PI-MATIAS OLIMPIO;253;
PI-MIGUEL ALVES;541;
PI-MIGUEL LEAO;80;
PI-MILTON BRANDAO;110;
PI-MONSENHOR GIL;263;
PI-MONSENHOR HIPOLITO;83;
PI-MONTE ALEGRE DO PIAUI;181;
PI-MORRO CABECA NO TEMPO;0;
PI-MORRO DO CHAPEU DO PIAUI;233;
PI-MURICI DOS PORTELAS;201;
